,test/loss,test/acc_macro,test/acc_micro,test/f1score
best_model-v1.ckpt,0.9133144617080688,0.515388011932373,0.6472222208976746,0.6568806767463684
best_model-v2.ckpt,0.942830502986908,0.5392416715621948,0.5861111283302307,0.5815232992172241
best_model.ckpt,1.5610586404800415,0.48594027757644653,0.5388889312744141,0.5518816709518433
